CODFILIAL;CODPROD;DESCRICAO;EMBALAGEM;DATA;QTESTGER
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-25;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-26;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-27;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-28;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-29;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-30;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-03-31;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-01;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-02;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-03;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-04;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-05;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-06;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-07;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-08;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-09;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-10;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-11;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-12;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-13;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-14;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-15;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-16;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-17;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-18;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-19;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-20;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-21;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-22;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-23;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-24;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-25;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-26;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-27;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-28;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-29;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-04-30;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-01;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-02;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-03;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-04;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-05;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-06;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-07;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-08;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-09;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-10;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-11;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-12;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-13;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-14;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-15;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-16;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-17;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-18;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-19;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-20;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-21;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-22;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-23;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-24;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-25;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-26;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-27;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-28;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-29;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-30;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-05-31;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-06-02;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-06-03;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-06-04;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-06-05;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-06-06;0
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;2021-06-07;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-08;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-09;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-10;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-11;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-12;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-13;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-14;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-15;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-17;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-18;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-19;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-20;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-21;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-22;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-23;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-24;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-25;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-26;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-27;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-02-28;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-02;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-03;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-04;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-05;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-06;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-07;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-08;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-09;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-10;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-11;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-12;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-13;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-14;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-15;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-16;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-17;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-18;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-19;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-20;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-21;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-22;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-23;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-24;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-25;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-26;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-27;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-28;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-29;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-30;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-03-31;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-01;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-02;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-03;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-04;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-05;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-06;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-07;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-08;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-09;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-10;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-11;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-12;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-13;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-14;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-15;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-16;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-17;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-18;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-19;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-20;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-21;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-22;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-23;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-24;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-25;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-26;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-27;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-28;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-29;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-04-30;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-01;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-02;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-03;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-04;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-05;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-06;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-07;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-08;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-09;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-10;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-11;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-12;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-13;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-14;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-15;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-16;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-17;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-18;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-19;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-20;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-21;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-22;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-23;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-24;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-25;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-26;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-27;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-28;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-29;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-30;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-05-31;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-06-02;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-06-03;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-06-04;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-06-05;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-06-06;0
1;2332;NESTLE FLAN MORANGO 20X200G;200G;2021-06-07;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-08;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-09;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-10;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-11;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-12;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-13;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-14;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-15;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-17;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-18;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-19;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-20;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-21;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-22;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-23;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-24;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-25;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-26;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-27;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-02-28;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-02;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-03;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-04;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-05;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-06;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-07;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-08;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-09;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-10;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-11;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-12;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-13;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-14;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-15;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-16;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-17;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-18;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-19;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-20;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-21;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-22;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-23;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-24;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-25;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-26;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-27;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-28;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-29;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-30;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-03-31;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-01;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-02;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-03;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-04;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-05;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-06;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-07;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-08;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-09;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-10;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-11;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-12;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-13;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-14;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-15;768
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-16;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-17;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-18;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-19;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-20;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-21;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-22;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-23;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-24;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-25;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-26;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-27;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-28;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-29;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-04-30;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-01;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-02;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-03;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-04;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-05;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-06;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-07;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-08;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-09;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-10;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-11;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-12;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-13;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-14;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-15;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-16;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-17;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-18;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-19;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-20;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-21;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-22;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-23;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-24;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-25;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-26;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-27;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-28;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-29;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-30;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-05-31;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-06-02;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-06-03;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-06-04;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-06-05;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-06-06;0
1;2347;CHAMBINHO PETIT MRG 64X80G;64X80G;2021-06-07;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-08;182
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-09;128
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-10;128
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-11;128
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-12;116
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-13;182
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-14;182
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-15;182
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-17;146
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-18;146
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-19;143
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-20;113
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-21;113
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-22;41
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-23;40
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-24;40
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-25;40
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-26;40
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-27;98
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-02-28;98
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-02;79
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-03;37
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-04;37
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-05;36
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-06;36
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-07;36
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-08;96
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-09;54
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-10;24
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-11;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-12;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-13;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-14;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-15;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-16;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-17;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-18;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-19;0
1;2373;NINHO IOGURTE POLPA 6X720G;720G;2021-03-20;0
